"id","chembl_id"
2335,"CHEMBL220845"
2336,"CHEMBL29873"
2337,"CHEMBL16217"
2338,"CHEMBL3186499"
2339,"CHEMBL1795399"
2340,"CHEMBL17157"
2342,"CHEMBL281071"
2343,"CHEMBL1797277"
2350,"CHEMBL509649"
2351,"CHEMBL457085"
2353,"CHEMBL459021"
2354,"CHEMBL478938"
2355,"CHEMBL478960"
2357,"CHEMBL423237"
2358,"CHEMBL1734870"
2362,"CHEMBL158198"
2363,"CHEMBL3596581"
2364,"CHEMBL1333931"
2367,"CHEMBL1594"
2367,"CHEMBL1741144"
2368,"CHEMBL1794671"
2369,"CHEMBL3184801"
2379,"CHEMBL1230906"
2380,"CHEMBL1231861"
2381,"CHEMBL465660"
2385,"CHEMBL459826"
2388,"CHEMBL1984707"
2389,"CHEMBL551160"
2390,"CHEMBL481045"
2391,"CHEMBL1438253"
2391,"CHEMBL454060"
2392,"CHEMBL1173444"
2403,"CHEMBL478523"
2404,"CHEMBL491264"
2405,"CHEMBL453294"
2408,"CHEMBL1651998"
2416,"CHEMBL447942"
2417,"CHEMBL1773988"
2418,"CHEMBL449140"
2420,"CHEMBL224139"
2422,"CHEMBL2252947"
2422,"CHEMBL2252948"
2423,"CHEMBL3392009"
2425,"CHEMBL2448591"
2427,"CHEMBL88244"
2428,"CHEMBL1288770"
2428,"CHEMBL465860"
2430,"CHEMBL471091"
2435,"CHEMBL457678"
2437,"CHEMBL1770314"
2440,"CHEMBL205924"
2443,"CHEMBL1464240"
2443,"CHEMBL442813"
2444,"CHEMBL1992522"
2449,"CHEMBL2022241"
2451,"CHEMBL538201"
2459,"CHEMBL564629"
2462,"CHEMBL486260"
2466,"CHEMBL502028"
2466,"CHEMBL522181"
2467,"CHEMBL2087140"
2468,"CHEMBL1707235"
2468,"CHEMBL224128"
2479,"CHEMBL224128"
2479,"CHEMBL490151"
2495,"CHEMBL454069"
2497,"CHEMBL1719948"
2507,"CHEMBL3183743"
2523,"CHEMBL1865426"
2523,"CHEMBL484838"
